"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"46","179.9854523379023","97.77775453438117","0.01318359375","0.02197265625","0.00439453125","2584","0.00023735796469349989","36","0.00023735796469349989","0","0.00023735796469349989","0.00023735796469349989","45:0.003821830930803266;47:0.0020208117111265578","45:68;47:68","45:0.003402466603427051;47:0.0031666621447831445","0.01318359375","Yes"
"47","208.59319079301287","217.5659530375676","0.1533203125","0.0869140625","0.2197265625","2584","0.00027180814951238106","36","0.00027180814951238106","0","0.00027180814951238106","0.00027180814951238106","48:0.008826548632251713;57:0.0024099866982909834;46:0.0020208117111265578","48:68;57:68;46:68","48:0.00706365691037672;57:0.001496617021083002;46:0.0031666621447831445","0.1533203125","Yes"
"48","187.10037983756993","54.23738497701584","0.0595703125","0.0830078125","0.0361328125","2584","0.00272869102988103","36","0.00272869102988103","0","0.00272869102988103","0.00272869102988103","47:0.008826548632251713;49:0.010572313001853267","47:68;49:68","47:0.00706365691037672;49:0.006562172087595297","0.0595703125","Yes"
"49","146.79423825257624","118.09719854401862","0.00732421875","0.0146484375","0","2584","0.0002491472997835244","36","0.0002491472997835244","0","0.0002491472997835244","0.0002491472997835244","48:0.010572313001853267;50:0.002650618729429649;38:0.0032501461063180193","48:68;50:68;38:68","48:0.006562172087595297;50:0.0019408242195479986;38:0.0020707773527877116","0.00732421875","Yes"
"50","267.9711729352276","246.89770410652676","0.017333984375","0.0234375","0.01123046875","2584","0.00023877093780209658","36","0.00023877093780209658","0","0.00023877093780209658","0.00023877093780209658","49:0.002650618729429649;51:0.0016025989089069048","49:68;51:68","49:0.0019408242195479986;51:0.0018395859533477665","0.017333984375","Yes"
"51","278.1156298739367","377.22851933904803","0.175537109375","0.3125","0.03857421875","2584","0.00018019035464606061","36","0.00018019035464606061","0","0.00018019035464606061","0.00018019035464606061","50:0.0016025989089069048;52:0.0027590913811905704;58:0.001791177306929348","50:68;52:68;58:68","50:0.0018395859533477665;52:0.002716659008682898;58:0.003927530176708133","0.175537109375","Yes"
"52","183.499071431609","158.89305404457787","0.007568359375","0.009765625","0.00537109375","2584","0.0004367156337326786","36","0.0004367156337326786","0","0.0004367156337326786","0.0004367156337326786","51:0.0027590913811905704;53:0.0028277111229011997","51:68;53:68","51:0.002716659008682898;53:0.0024154458320157224","0.007568359375","Yes"
"53","236.62330691634207","257.5676745390567","0.008544921875","0.00830078125","0.0087890625","2584","0.00019491770521511814","36","0.00019491770521511814","0","0.00019491770521511814","0.00019491770521511814","39:0.00186111096576283;52:0.0028277111229011997;54:0.0012638291358605669","39:68;52:68;54:68","39:0.0016666876278957632;52:0.0024154458320157224;54:0.0015013024184701573","0.008544921875","Yes"
"54","208.30150806666109","256.0184112936334","0.004150390625","0.00439453125","0.00390625","2584","0.00012402325669724114","36","0.00012402325669724114","0","0.00012402325669724114","0.00012402325669724114","53:0.0012638291358605669;55:0.0016610193566561349","53:68;55:68","53:0.0015013024184701573;55:0.001349436448974256","0.004150390625","Yes"
"55","238.810358041075","78.90753528802618","0.04296875","0.072265625","0.013671875","2584","0.0004224188387873084","36","0.0004224188387873084","0","0.0004224188387873084","0.0004224188387873084","59:0.0018940600405011054;54:0.0016610193566561349","59:68;54:68","59:0.0019063849978860348;54:0.001349436448974256","0.04296875","Yes"
