"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"43","248.86312973882792","325.7607501627649","0.001953125","0.0029296875","0.0009765625","2200","0.0003112733428899715","32","0.0003112733428899715","0","0.0003112733428899715","0.0003112733428899715","42:0.0013685541410954627;56:0.0008847804640517987;44:0.0013041651295163936","42:68;56:68;44:68","42:0.0010844543225931036;56:0.0017016375561506591;44:0.0014072502885211502","0.001953125","0.002197265625","Yes"
"44","204.27250891724375","235.26348616648295","0.0029296875","0.00537109375","0.00048828125","2200","0.00020785859689054177","32","0.00020785859689054177","0","0.00020785859689054177","0.00020785859689054177","45:0.0011754159784376494;43:0.0013041651295163936","45:68;43:68","45:0.0009422993100570987;43:0.0014072502885211502","0.0029296875","0.002197265625","Yes"
"45","241.65229549416728","283.882372585863","0.00537109375","0.00439453125","0.00634765625","2200","0.00033342600554529806","32","0.00033342600554529806","0","0.00033342600554529806","0.00033342600554529806","44:0.0011754159784376494;46:0.10961437961680827;37:0.0009289035067263363","44:68;46:68;37:68","44:0.0009422993100570987;46:0.10681208534924158;37:0.0010867192568355943","0.00537109375","0.0078125","Yes"
"46","123.05496468489837","52.554964284398665","0.04443359375","0.0888671875","0","2200","0.0057885583275894895","32","0.0057885583275894895","0","0.0057885583275894895","0.0057885583275894895","45:0.10961437961680827;47:0.03449679576323236","45:68;47:68","45:0.10681208534924158;47:0.040785012989074554","0.04443359375","0.017333984375","Yes"
"47","271.04662812878826","290.9827250955806","0.005126953125","0.0068359375","0.00341796875","2200","0.00012508729512376756","32","0.00012508729512376756","0","0.00012508729512376756","0.00012508729512376756","48:0.0013286976639203252;57:0.0007762634912659439;46:0.03449679576323236","48:68;57:68;46:68","48:0.0011352817736729193;57:0.0009171662132901603;46:0.040785012989074554","0.005126953125","0.0009765625","Yes"
"48","251.0492430757695","348.0246322373219","0.0029296875","0.00390625","0.001953125","2200","0.00013434757278219298","32","0.00013434757278219298","0","0.00013434757278219298","0.00013434757278219298","47:0.0013286976639203252;49:0.001350833042794014","47:68;49:68","47:0.0011352817736729193;49:0.0014812495778950274","0.0029296875","0.001708984375","Yes"
"49","190.19955748359146","145.24691248438958","0.003173828125","0.00390625","0.00244140625","2200","0.0001820140775288308","32","0.0001820140775288308","0","0.0001820140775288308","0.0001820140775288308","48:0.001350833042794014;50:0.0016079668527172741;38:0.0013538821998525241","48:68;50:68;38:68","48:0.0014812495778950274;50:0.0012855349791280057;38:0.0014718930343433356","0.003173828125","0.003173828125","Yes"
"50","169.74330889653675","159.61608741389898","0.0078125","0.01513671875","0.00048828125","2200","0.0002345552060237463","32","0.0002345552060237463","0","0.0002345552060237463","0.0002345552060237463","49:0.0016079668527172741;51:0.0012688662044226529","49:68;51:68","49:0.0012855349791280057;51:0.001119568161156409","0.0078125","0.00146484375","Yes"
"51","233.94546019304963","236.24428338310278","0.00244140625","0.00341796875","0.00146484375","2200","0.00012730763072972122","32","0.00012730763072972122","0","0.00012730763072972122","0.00012730763072972122","50:0.0012688662044226529;52:0.0010423774661974805;58:0.0009508947958070946","50:68;52:68;58:68","50:0.001119568161156409;52:0.0013756743699012697;58:0.0016603929563771547","0.00244140625","0.001708984375","Yes"
"52","196.56205361179747","181.32005847271185","0.00341796875","0.00537109375","0.00146484375","2200","0.00018660202169739772","32","0.00018660202169739772","0","0.00018660202169739772","0.00018660202169739772","51:0.0010423774661974805;53:0.001328826515413134","51:68;53:68","51:0.0013756743699012697;53:0.0012832020857456994","0.00341796875","0.003662109375","Yes"
"53","375.8007809792254","351.9805329787139","0.012939453125","0.013671875","0.01220703125","2200","0.00010675728313501547","32","0.00010675728313501547","0","0.00010675728313501547","0.00010675728313501547","39:0.0009224992552268052;52:0.001328826515413134;54:0.0009677699551223495","39:68;52:68;54:88","39:0.0009313327279484307;52:0.0012832020857456994;54:0.001249078337386883","0.012939453125","0.005859375","Yes"
"54","300.9696233744599","382.5331664611165","0.004150390625","0.00390625","0.00439453125","2200","0.00012999411173522828","32","0.00012999411173522828","0","0.00012999411173522828","0.00012999411173522828","53:0.0009677699551223495;55:0.0007871975508296214","53:88;55:68","53:0.001249078337386883;55:0.0013947261223594132","0.004150390625","0.001708984375","Yes"
"55","353.3870109022913","532.2104174527515","0.001708984375","0.00146484375","0.001953125","2200","0.00011072227661768404","32","0.00011072227661768404","0","0.00011072227661768404","0.00011072227661768404","59:0.001510798851585532;54:0.0007871975508296214","59:68;54:68","59:0.0013334035876946537;54:0.0013947261223594132","0.001708984375","0.008056640625","Yes"
"56","287.1514328519439","291.6514010824361","0.00439453125","0.00830078125","0.00048828125","2200","0.00018700211098193737","32","0.00018700211098193737","0","0.00018700211098193737","0.00018700211098193737","63:0.0016545389737614158;43:0.0008847804640517987","63:68;43:68","63:0.0015100137830648397;43:0.0017016375561506591","0.00439453125","0.005126953125","Yes"
"57","127.81845952206241","171.3273989030699","0.002197265625","0.00341796875","0.0009765625","2200","0.0002562826168104527","32","0.0002562826168104527","0","0.0002562826168104527","0.0002562826168104527","47:0.0007762634912659439;67:0.0008228572903865861","47:68;67:68","47:0.0009171662132901603;67:0.0015549766796930098","0.002197265625","0.001953125","Yes"
