"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"55","275.3218374900319","493.7491777546186","0.0091552734375","0.010986328125","0.00732421875","2584","0.00015096137102268363","32","0.00015096137102268363","0","0.00015096137102268363","0.00015096137102268363","59:0.0011331908662746137;54:0.0016588193196170886","59:88;54:88","59:0.0011594061299085023;54:0.003583375141376438","0.0091552734375","0.0078125","Yes"
"56","344.8499509412241","392.02856217990615","0.03369140625","0.03759765625","0.02978515625","2584","0.0004184798215150771","32","0.0004184798215150771","0","0.0004184798215150771","0.0004184798215150771","43:0.006925564937819428","63:88;43:88","43:0.012522437595534341","0.03369140625","0.01953125","Yes"
"57","77.50092339236156","114.78659839403323","0.007568359375","0.013671875","0.00146484375","2584","0.0002421227960849841","32","0.0002421227960849841","0","0.0002421227960849841","0.0002421227960849841","47:0.002091814796964242;67:0.0022633279893899683","47:88;67:88","47:0.002444156757364646;67:0.003135944974018756","0.007568359375","0.008056640625","Yes"
"58","262.43887701919743","262.71097609944593","0.005859375","0.006103515625","0.005615234375","2584","0.00016110122078462997","32","0.00016110122078462997","0","0.00016110122078462997","0.00016110122078462997","71:0.0011263237325897513;51:0.0017869698207419737","71:88;51:88","71:0.0010854408244249103;51:0.0010791183989555808","0.005859375","0.006103515625","Yes"
"59","259.9038807005445","286.01622584563603","0.0126953125","0.01611328125","0.00927734375","2584","0.00028544826345555034","32","0.00028544826345555034","0","0.00028544826345555034","0.00028544826345555034","55:0.0011331908662746137;75:0.001577398959358156","55:88;75:88","55:0.0011594061299085023;75:0.0009671395475006617","0.0126953125","0.005615234375","Yes"
"60","337.68094884925586","480.7999834193154","0.0184326171875","0.017822265625","0.01904296875","2584","0.0000803153665102127","32","0.0000803153665102127","0","0.0000803153665102127","0.0000803153665102127","61:0.0017258211905972487","61:88","61:0.0017362057386354768","0.0184326171875","0.014404296875","Yes"
"61","317.2235234154327","377.07343465731026","0.03515625","0.0185546875","0.0205078125","2584","0.0001488077002118866","32","0.0001488077002118866","0","0.0001488077002118866","0.0001488077002118866","76:0.0012635379967360083;60:0.0017258211905972487;62:0.0013785972498234489","76:88;60:88;62:88","76:0.0016729010959911361;60:0.0017362057386354768;62:0.0014827386857188263","0.03515625","0.02392578125","Yes"
"62","322.9065171937947","328.9650266328402","0.0145263671875","0.013427734375","0.015625","2584","0.00011983248440588589","32","0.00011983248440588589","0","0.00011983248440588589","0.00011983248440588589","61:0.0013785972498234489;63:0.0011464486377587568","61:88;63:88","61:0.0014827386857188263;63:0.0013161569214938107","0.0145263671875","0.010009765625","Yes"
"63","323.322661676317","546.1200708597922","0.0107421875","0.013671875","0.0078125","2584","0.0001294124224893058","32","0.0001294124224893058","0","0.0001294124224893058","0.0001294124224893058","62:0.0011464486377587568;64:0.0009045010997948688","56:88;62:88;64:88","62:0.0013161569214938107;64:0.0008964341516987662","0.0107421875","0.00830078125","Yes"
"64","306.2878904632732","475.60279620012426","0.009521484375","0.009521484375","0.009521484375","2584","0.00012647823415939128","32","0.00012647823415939128","0","0.00012647823415939128","0.00012647823415939128","65:0.0014894139875168133;63:0.0009045010997948688","65:88;63:88","65:0.001407615646800947;63:0.0008964341516987662","0.009521484375","0.00439453125","Yes"
"65","208.0165186550997","248.7007370030419","0.0150146484375","0.0205078125","0.009521484375","2584","0.0004689686961430974","32","0.0004689686961430974","0","0.0004689686961430974","0.0004689686961430974","64:0.0014894139875168133;66:0.0011371458111935073;77:0.001114798400312117","64:88;66:88;77:88","64:0.001407615646800947;66:0.001442894628525232;77:0.0013129315964097998","0.0150146484375","0.008056640625","Yes"
"66","313.3868933184389","327.5228459266718","0.004150390625","0.00390625","0.00439453125","2584","0.00024440414014339004","32","0.00024440414014339004","0","0.00024440414014339004","0.00024440414014339004","65:0.0011371458111935073;67:0.0009033872731598613","65:88;67:88","65:0.001442894628525232;67:0.0009445690643645199","0.004150390625","0.0029296875","Yes"
"67","316.158065048062","269.9776617307969","0.0045166015625","0.00439453125","0.004638671875","2584","0.00015670993939560478","32","0.00015670993939560478","0","0.00015670993939560478","0.00015670993939560478","68:0.0018999961046152758;57:0.0022633279893899683;66:0.0009033872731598613","68:88;57:88;66:88","68:0.001275051007077005;57:0.003135944974018756;66:0.0009445690643645199","0.0045166015625","0.0029296875","Yes"
"68","279.0255329609192","229.79277123750143","0.0074462890625","0.0068359375","0.008056640625","2584","0.00036955636147461386","32","0.00036955636147461386","0","0.00036955636147461386","0.00036955636147461386","67:0.0018999961046152758;69:0.0011578198679259855","67:88;69:88","67:0.001275051007077005;69:0.001036581198219727","0.0074462890625","0.0029296875","Yes"
"69","311.74406534784794","211.49205481598952","0.0216064453125","0.02001953125","0.023193359375","2584","0.00020263880438350937","32","0.00020263880438350937","0","0.00020263880438350937","0.00020263880438350937","78:0.0025233514202040452;68:0.0011578198679259855;70:0.0019703220602419746","78:88;68:88;70:88","78:0.0027842931272994698;68:0.001036581198219727;70:0.002376337219017921","0.0216064453125","0.013427734375","Yes"
"70","303.38627006034295","225.92737640963864","0.0076904296875","0.010986328125","0.00439453125","2584","0.00031897912367414574","32","0.00031897912367414574","0","0.00031897912367414574","0.00031897912367414574","69:0.0019703220602419746;71:0.0035774341714266134","69:88;71:88","69:0.002376337219017921;71:0.0051771377544685415","0.0076904296875","0.006591796875","Yes"
"71","293.77687250560825","174.71929175671906","0.0164794921875","0.0166015625","0.016357421875","2584","0.000597175114049927","32","0.000597175114049927","0","0.000597175114049927","0.000597175114049927","72:0.0013303980159014572;58:0.0011263237325897513;70:0.0035774341714266134","72:88;58:88;70:88","72:0.0013554733582276657;58:0.0010854408244249103;70:0.0051771377544685415","0.0164794921875","0.012451171875","Yes"
"72","269.477580894377","416.5149665020811","0.0130615234375","0.01220703125","0.013916015625","2584","0.00013880109004814616","32","0.00013880109004814616","0","0.00013880109004814616","0.00013880109004814616","73:0.0008713570584531483;71:0.0013303980159014572","73:88;71:88","73:0.0008027888225637103;71:0.0013554733582276657","0.0130615234375","0.006591796875","Yes"
"73","370.7404830849759","436.22438039013093","0.0159912109375","0.01318359375","0.018798828125","2584","0.00013669876959774535","32","0.00013669876959774535","0","0.00013669876959774535","0.00013669876959774535","72:0.0008713570584531483;74:0.0009710175800584087;79:0.0007960776930416857","72:88;74:88;79:88","72:0.0008027888225637103;74:0.0012652920897703313;79:0.001164810965358698","0.0159912109375","0.012451171875","Yes"
"74","234.29385439391228","297.3346818619705","0.0074462890625","0.0078125","0.007080078125","2584","0.00010938705266291448","32","0.00010938705266291448","0","0.00010938705266291448","0.00010938705266291448","73:0.0009710175800584087;75:0.0014096158654978708","73:88;75:88","73:0.0012652920897703313;75:0.0014453082393769134","0.0074462890625","0.005126953125","Yes"
