"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"57","242.20113103915293","289.01617797994305","0.017578125","0.0244140625","0.0107421875","2400","0.0003872547645083718","32","0.0003872547645083718","0","0.0003872547645083718","0.0003872547645083718","47:0.004978815246331897;56:0.0035958151624086443;58:0.0024434337450612853;67:0.00454023527836131","47:168;56:128;58:168;67:308","0.017578125","Yes"
"58","363.7291639753029","388.08592542342404","0.023193359375","0.0380859375","0.00830078125","2400","0.0003706678315726758","32","0.0003706678315726758","0","0.0003706678315726758","0.0003706678315726758","48:0.06091468194433508;57:0.0024434337450612853;59:0.0016904663302040324;68:0.0024115869428806558","48:248;57:168;59:168;68:248","0.023193359375","Yes"
"59","286.7546015716672","274.6686161064073","0.020263671875","0.02490234375","0.015625","2400","0.00009252432982026475","32","0.00009252432982026475","0","0.00009252432982026475","0.00009252432982026475","49:0.0011728849254764306;58:0.0016904663302040324;69:0.001516015643480334","49:128;58:168;69:128","0.020263671875","Yes"
"60","211.2995345620664","231.1762995276352","0.010009765625","0.01513671875","0.0048828125","2400","0.0006064576653364601","32","0.0006064576653364601","0","0.0006064576653364601","0.0006064576653364601","61:0.008903209299478604;50:0.005280439223332739;70:0.002957721941552277","61:128;50:68;70:128","0.010009765625","Yes"
"61","208.3706218049336","150.3841137194869","0.0146484375","0.01318359375","0.01611328125","2400","0.0002147611183401943","32","0.0002147611183401943","0","0.0002147611183401943","0.0002147611183401943","51:0.0031523642269914998;60:0.008903209299478604;62:0.0022040357667285626;71:0.004170427415659289","51:128;60:128;62:288;71:188","0.0146484375","Yes"
"62","437.29920234258134","365.6751031896857","0.023193359375","0.01416015625","0.0322265625","2400","0.0001523304362236651","32","0.0001523304362236651","0","0.0001523304362236651","0.0001523304362236651","72:0.0014545885274561687;52:0.0026668472870091664;61:0.0022040357667285626;63:0.0018888264413330635","72:128;52:128;61:288;63:128","0.023193359375","Yes"
"63","397.54311429455254","254.91298402394835","0.0302734375","0.01953125","0.041015625","2400","0.0003446343173892549","32","0.0003446343173892549","0","0.0003446343173892549","0.0003446343173892549","53:0.003455322088900953;62:0.0018888264413330635;64:0.002269296867750875;73:0.0036064763398420963","53:228;62:128;64:188;73:148","0.0302734375","Yes"
"64","395.93764159655814","264.07494475498004","0.0087890625","0.00830078125","0.00927734375","2400","0.00014922919482336034","32","0.00014922919482336034","0","0.00014922919482336034","0.00014922919482336034","65:0.0020657143916611165;54:0.002513211384785885;63:0.002269296867750875;74:0.0024656365971906236","65:128;54:208;63:188;74:208","0.0087890625","Yes"
"65","480.5243938456393","253.23994367920773","0.024169921875","0.02734375","0.02099609375","2400","0.000181865758180076","32","0.000181865758180076","0","0.000181865758180076","0.000181865758180076","55:0.002270419889680908;64:0.0020657143916611165;66:0.002498071415661496;75:0.002819782427754103","55:148;64:128;66:128;75:208","0.024169921875","Yes"
"66","336.1781933124239","238.55599332114429","0.03955078125","0.0673828125","0.01171875","2400","0.0002871124465718532","32","0.0002871124465718532","0","0.0002871124465718532","0.0002871124465718532","56:0.0018531993773038824;65:0.002498071415661496;76:0.0027843650894407157","56:128;65:128;67:68;76:228","0.03955078125","Yes"
