"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"30","258.1715285809727","162.5956879159704","0.04248046875","0.033203125","0.0517578125","1560","0.00024349233376571233","32","0.00024349233376571233","0","0.00024349233376571233","0.00024349233376571233","31:0.00182038750748445;29:0.002369415576671474","31:68;29:68","31:0.001682493762630577;29:0.002433126582298578","0.04248046875","Yes"
"31","88.78710007705034","66.45099383194002","0.0625","0.0869140625","0.0380859375","1560","0.000248197618043844","32","0.000248197618043844","0","0.000248197618043844","0.000248197618043844","30:0.00182038750748445;32:0.002756886078003673;18:0.0016380322004146408","30:68;32:68;18:68","30:0.001682493762630577;32:0.002349584181985803;18:0.001611293727352886","0.0625","Yes"
"32","239.41081034381648","137.61289455308844","0.088623046875","0.0693359375","0.10791015625","1560","0.00021230831667869398","32","0.00021230831667869398","0","0.00021230831667869398","0.00021230831667869398","31:0.002756886078003673;33:0.001828474859286111","31:68;33:68","31:0.002349584181985803;33:0.0017206100991558892","0.088623046875","Yes"
"33","201.33703457623432","69.16901395211035","0.10009765625","0.07275390625","0.12744140625","1560","0.0003630964912892923","32","0.0003630964912892923","0","0.0003630964912892923","0.0003630964912892923","37:0.0029258629653319546;32:0.001828474859286111","37:88;32:68","37:0.0027540472454530562;32:0.0017206100991558892","0.10009765625","Yes"
"34","166.80434615848188","87.9490004931029","0.058349609375","0.056640625","0.06005859375","1560","0.00019866399639401078","32","0.00019866399639401078","0","0.00019866399639401078","0.00019866399639401078","21:0.0026867620460697406;40:0.002387379347446289","21:68;40:96","21:0.0026671982839162056;40:0.0026469447667843704","0.058349609375","Yes"
"35","153.02397307353345","106.13196693308262","0.035888671875","0.03076171875","0.041015625","1560","0.0005161138824874135","32","0.0005161138824874135","0","0.0005161138824874135","0.0005161138824874135","25:0.002193526595139189","44:108;25:108","25:0.0018989311724340041","0.035888671875","Yes"
"36","77.02644733639401","105.01046251094014","0.012939453125","0.01123046875","0.0146484375","1560","0.0007977580935505627","32","0.0007977580935505627","0","0.0007977580935505627","0.0007977580935505627","48:0.002300880602687433;29:0.002525541338388587","48:68;29:68","48:0.002494528107780891;29:0.002838786569592383","0.012939453125","Yes"
"37","59.919350992670644","60.92062443147496","0.010009765625","0.01611328125","0.00390625","1560","0.00035660796168240547","32","0.00035660796168240547","0","0.00035660796168240547","0.00035660796168240547","33:0.0029258629653319546;52:0.002458021071119948","33:88;52:104","33:0.0027540472454530562;52:0.004480197335754027","0.010009765625","Yes"
"38","226.2415652265394","174.39617626151815","0.0634765625","0.06201171875","0.06494140625","1560","0.000406533177193871","32","0.000406533177193871","0","0.000406533177193871","0.000406533177193871","39:0.0015946142357032012","53:68;39:68","39:0.0018693148712107255","0.0634765625","Yes"
"39","142.22506487974363","156.86989207081973","0.074951171875","0.05859375","0.09130859375","1560","0.00023940531060304037","32","0.00023940531060304037","0","0.00023940531060304037","0.00023940531060304037","38:0.0015946142357032012;40:0.0016564357324455325","38:68;40:68","38:0.0018693148712107255;40:0.0018209313587186637","0.074951171875","Yes"
