"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"32","144.86746767209146","111.13226322093607","0.0321044921875","0.03564453125","0.028564453125","1560","0.00022204985215502085","24","0.00022204985215502085","0","0.00022204985215502085","0.00022204985215502085","31:68;33:68","31:0.03936654405631074","31:0.01022996229655021","0.0321044921875","Yes"
"33","134.81736968072602","165.9398293298172","0.0185546875","0.023193359375","0.013916015625","1560","0.00021334631948913158","24","0.00021334631948913158","0","0.00021334631948913158","0.00021334631948913158","39:68;32:68;34:68","39:0.0016244501662779354;34:0.0025712977328732622","39:0.001743208688384651;34:0.002274511067496515","0.0185546875","Yes"
"34","146.83344332875038","66.90515127804399","0.011962890625","0.013671875","0.01025390625","1560","0.0004886124390342402","24","0.0004886124390342402","0","0.0004886124390342402","0.0004886124390342402","33:68;35:68","33:0.0025712977328732622;35:0.0018860725440242865","33:0.002274511067496515;35:0.0018521735498917002","0.011962890625","Yes"
"35","203.37740994274063","47.279799199082646","0.014404296875","0.0263671875","0.00244140625","1560","0.00022898657838880707","24","0.00022898657838880707","0","0.00022898657838880707","0.00022898657838880707","19:68;34:68","19:0.001796906944281501;34:0.0018860725440242865","19:0.0017354556913706798;34:0.0018521735498917002","0.014404296875","Yes"
"36","150.50175397430993","141.3351470009472","0.0155029296875","0.01318359375","0.017822265625","1560","0.0006784189441924087","24","0.0006784189441924087","0","0.0006784189441924087","0.0006784189441924087","41:68;21:68","41:0.0019502254051536605;21:0.0068982007621140595","41:0.0023786136084995024;21:0.005001511463495145","0.0155029296875","Yes"
"37","143.06816883696453","169.61489325976075","0.0107421875","0.015625","0.005859375","1560","0.00031572792229408737","24","0.00031572792229408737","0","0.00031572792229408737","0.00031572792229408737","45:68;25:68","45:0.001934495206869724;25:0.002682013601319505","45:0.001955702404042664;25:0.0015875492072073005","0.0107421875","Yes"
"38","65.50085050099415","81.18931685597214","0.0098876953125","0.010498046875","0.00927734375","1560","0.00026777951690165174","24","0.00026777951690165174","0","0.00026777951690165174","0.00026777951690165174","29:68;49:68","29:0.0020075907870784337;49:0.004941682159153193","29:0.0023092273695781707;49:0.01166966879937742","0.0098876953125","Yes"
"39","161.55551136274883","120.88755959186932","0.015625","0.0166015625","0.0146484375","1560","0.0004459961832358591","24","0.0004459961832358591","0","0.0004459961832358591","0.0004459961832358591","53:68;33:68","53:0.006179944614014887;33:0.0016244501662779354","53:0.004424781704164271;33:0.001743208688384651","0.015625","Yes"
"40","166.4277079815499","214.43639336225436","0.0252685546875","0.03466796875","0.015869140625","1560","0.0003530006740599038","24","0.0003530006740599038","0","0.0003530006740599038","0.0003530006740599038","41:68","41:0.0025565526284563878","41:0.0022254987204846644","0.0252685546875","Yes"
"41","177.39342063001078","115.77205172788514","0.1065673828125","0.174560546875","0.03857421875","1560","0.0011342937583556734","24","0.0011342937583556734","0","0.0011342937583556734","0.0011342937583556734","40:68;42:68;36:68","40:0.0025565526284563878;42:0.003167805220949116;36:0.0019502254051536605","40:0.0022254987204846644;42:0.0022717051751781903;36:0.0023786136084995024","0.1065673828125","Yes"
"42","177.1055378829964","41.71903436881397","0.0145263671875","0.015625","0.013427734375","1560","0.00024178975020259578","24","0.00024178975020259578","0","0.00024178975020259578","0.00024178975020259578","41:68;43:68","41:0.003167805220949116;43:0.005408992140602947","41:0.0022717051751781903;43:0.007621719601789589","0.0145263671875","Yes"
"43","135.1543026164295","77.82927316211358","0.1329345703125","0.115234375","0.150634765625","1560","0.0007486001403135827","24","0.0007486001403135827","0","0.0007486001403135827","0.0007486001403135827","42:68;56:68;44:68","42:0.005408992140602947;56:0.005075603766531711;44:0.025606430317627132","42:0.007621719601789589;56:0.006023822243732241;44:0.03057716894688689","0.1329345703125","Yes"
"44","96.32551402982746","97.59438208164984","0.0054931640625","0.0107421875","0.003173828125","1560","0.0006360800016739075","24","0.0006360800016739075","0","0.0006360800016739075","0.0006360800016739075","45:68;43:68","45:0.002086668291716942;43:0.025606430317627132","45:0.0025478546849815875;43:0.03057716894688689","0.0054931640625","Yes"
"45","189.03226780399723","170.25849237281668","0.0386962890625","0.04345703125","0.033935546875","1560","0.00019794594354505488","24","0.00019794594354505488","0","0.00019794594354505488","0.00019794594354505488","44:68;46:68;37:68","44:0.002086668291716942;46:0.0026668547059446324;37:0.001934495206869724","44:0.0025478546849815875;46:0.0024766641839950865;37:0.001955702404042664","0.0386962890625","Yes"
"46","153.91150796657672","12.590233608836032","0.00927734375","0.011962890625","0.006591796875","1560","0.0005225039721752095","24","0.0005225039721752095","0","0.0005225039721752095","0.0005225039721752095","45:68;47:68","45:0.0026668547059446324;47:0.0024903981259439545","45:0.0024766641839950865;47:0.0022913604346736782","0.00927734375","Yes"
"47","197.21834988583828","63.66565529778775","0.0252685546875","0.03173828125","0.018798828125","1560","0.00025451528056516867","24","0.00025451528056516867","0","0.00025451528056516867","0.00025451528056516867","48:68;57:68;46:68","48:0.002113845837736106;57:0.003335175269909285;46:0.0024903981259439545","48:0.0019984351390876787;57:0.011890676613942164;46:0.0022913604346736782","0.0252685546875","Yes"
"48","130.07291871124966","37.22360019133519","0.0086669921875","0.010009765625","0.00732421875","1560","0.00019928694902189678","24","0.00019928694902189678","0","0.00019928694902189678","0.00019928694902189678","47:68;49:68","47:0.002113845837736106;49:0.004978559185490367","47:0.0019984351390876787;49:0.014661848414354278","0.0086669921875","Yes"
"49","116.4161991743889","29.425724429211765","0.036376953125","0.038330078125","0.034423828125","1560","0.001699768460122345","24","0.001699768460122345","0","0.001699768460122345","0.001699768460122345","48:68;50:68;38:68","48:0.004978559185490367;50:0.026201407109112174;38:0.004941682159153193","48:0.014661848414354278;50:0.03878226450255848;38:0.01166966879937742","0.036376953125","Yes"
"50","125.8572311483002","157.04376141449882","0.006591796875","0.00634765625","0.0068359375","1560","0.00036198255024802196","24","0.00036198255024802196","0","0.00036198255024802196","0.00036198255024802196","49:68;51:68","49:0.026201407109112174;51:0.0031557036637820945","49:0.03878226450255848;51:0.0031958216895311975","0.006591796875","Yes"
"51","94.39700978357737","89.02686962059987","0.11669921875","0.09814453125","0.13525390625","1560","0.0002270047132065061","24","0.0002270047132065061","0","0.0002270047132065061","0.0002270047132065061","50:68;52:68;58:68","50:0.0031557036637820945;52:0.0017649774814440522;58:0.0027633554844753716","50:0.0031958216895311975;52:0.001964767085314678;58:0.0017899824360909922","0.11669921875","Yes"
"52","201.0915574148818","143.22229009333384","0.0152587890625","0.019775390625","0.0107421875","1560","0.000450446565116043","24","0.000450446565116043","0","0.000450446565116043","0.000450446565116043","51:68;53:68","51:0.0017649774814440522;53:0.0017539395767216526","51:0.001964767085314678;53:0.00177580474501976","0.0152587890625","Yes"
"53","140.22933331111324","12.509263844603998","0.134765625","0.13671875","0.1328125","1560","0.00025963984550448813","24","0.00025963984550448813","0","0.00025963984550448813","0.00025963984550448813","39:68;52:68;54:68","39:0.006179944614014887;52:0.0017539395767216526;54:0.0043849242841284275","39:0.004424781704164271;52:0.00177580474501976;54:0.0077590729740009134","0.134765625","Yes"
"54","159.08902221195228","155.0564440637954","0.0093994140625","0.013427734375","0.00537109375","1560","0.00041867952634760627","24","0.00041867952634760627","0","0.00041867952634760627","0.00041867952634760627","53:68;55:68","53:0.0043849242841284275;55:0.002633348710812139","53:0.0077590729740009134;55:0.004456979251093396","0.0093994140625","Yes"
"55","203.09208721485948","96.11587924873636","0.0953369140625","0.121826171875","0.06884765625","1560","0.0003300291360461341","24","0.0003300291360461341","0","0.0003300291360461341","0.0003300291360461341","59:68;54:68","59:0.0025192492881051243;54:0.002633348710812139","59:0.002257146491640799;54:0.004456979251093396","0.0953369140625","Yes"
"56","175.6193456390199","190.94980237040457","0.0101318359375","0.013916015625","0.00634765625","1560","0.0003920126289619394","24","0.0003920126289619394","0","0.0003920126289619394","0.0003920126289619394","63:68;43:68","63:0.0042971235067321145;43:0.005075603766531711","63:0.005389968652357274;43:0.006023822243732241","0.0101318359375","Yes"
